N-NUMBER,NAME,MFR MDL CODE,STATE,YEAR MFR
10156,UNITED AIRLINES INC,3260214,IL,2004
101DQ,DELTA AIR LINES INC,3940005,GA,2020
102DA,DELTA AIR LINES INC,1385132,GA,1982
102DN,DELTA AIR LINES INC,3940005,GA,2020
103DU,DELTA AIR LINES INC,1400012,GA,
104DU,DELTA AIR LINES INC,1400012,GA,
107US,AMERICAN AIRLINES INC,3930316,TX,1999
108DN,DELTA AIR LINES INC,3940005,GA,2021
108NN,AMERICAN AIRLINES INC,3930402,TX,2014
108UW,AMERICAN AIRLINES INC,3930316,TX,1999
109DN,DELTA AIR LINES INC,3940005,GA,2021
109UW,AMERICAN AIRLINES INC,3930316,TX,1999
110AN,AMERICAN AIRLINES INC,3930402,TX,2014
110DX,DELTA AIR LINES INC,3940005,GA,2021
110UW,AMERICAN AIRLINES INC,3930316,TX,1999
11106,UNITED AIRLINES INC,3260214,IL,2002
11107,UNITED AIRLINES INC,3260214,IL,2002
11113,UNITED AIRLINES INC,3260214,IL,2002
11119,UNITED AIRLINES INC,3260214,IL,2002
11121,UNITED AIRLINES INC,3260214,IL,2003
11127,UNITED AIRLINES INC,3260214,IL,2003
11140,UNITED AIRLINES INC,3260214,IL,2003
11150,UNITED AIRLINES INC,3260214,IL,2003
11164,UNITED AIRLINES INC,3260214,IL,2004
11165,UNITED AIRLINES INC,3260214,IL,2004
11176,UNITED AIRLINES INC,3260214,IL,2004
11181,UNITED AIRLINES INC,3260214,IL,2005
11184,UNITED AIRLINES INC,3260214,IL,2005
11187,UNITED AIRLINES INC,3260214,IL,2005
11189,UNITED AIRLINES INC,3260214,IL,2005
11191,UNITED AIRLINES INC,3260214,IL,2005
11192,UNITED AIRLINES INC,3260214,IL,2005
11193,UNITED AIRLINES INC,3260214,IL,2005
11194,UNITED AIRLINES INC,3260214,IL,2005
11199,UNITED AIRLINES INC,3260214,IL,2006
111DC,DELTA AIR LINES INC,3940005,GA,2021
111US,AMERICAN AIRLINES INC,3930316,TX,1999
111ZM,AMERICAN AIRLINES INC,3930402,TX,2014
11206,UNITED AIRLINES INC,13844BZ,IL,2000
112AN,AMERICAN AIRLINES INC,3930402,TX,2014
112DN,DELTA AIR LINES INC,3940305,GA,2021
112US,AMERICAN AIRLINES INC,3930316,TX,1999
113AN,AMERICAN AIRLINES INC,3930402,TX,2014
113DX,DELTA AIR LINES INC,3940005,GA,2021
114DN,DELTA AIR LINES INC,3940005,GA,2021
114UW,AMERICAN AIRLINES INC,3930316,TX,1999
115DN,DELTA AIR LINES INC,3940005,GA,2021
115NN,AMERICAN AIRLINES INC,3930402,TX,2014
116DN,DELTA AIR LINES INC,3940305,GA,2021
116DU,DELTA AIR LINES INC,1400010,GA,2019
117AN,AMERICAN AIRLINES INC,3940032,TX,2014
117DX,DELTA AIR LINES INC,3940005,GA,2021
118DY,DELTA AIR LINES INC,3940005,GA,2021
119DN,DELTA AIR LINES INC,3940005,GA,2021
12003,UNITED AIRLINES INC,1386010,IL,
12004,UNITED AIRLINES INC,1386010,IL,2019
12005,UNITED AIRLINES INC,1386010,IL,2019
12006,UNITED AIRLINES INC,1386010,IL,2019
1200K,DELTA AIR LINES INC,1385101,GA,1998
12010,UNITED AIRLINES INC,1386010,IL,2019
12012,UNITED AIRLINES INC,1386010,IL,2020
1201P,DELTA AIR LINES INC,1385101,GA,1998
12020,UNITED AIRLINES INC,1386010,IL,2022
12021,UNITED AIRLINES INC,1386010,IL,2022
12028,AMERICAN AIRLINES INC,3940034,TX,2015
120DN,DELTA AIR LINES INC,3940005,GA,2021
120UA,UNITED AIRLINES INC,1384935,IL,1999
12109,UNITED AIRLINES INC,1384958,IL,1994
12114,UNITED AIRLINES INC,1384958,IL,1995
12116,UNITED AIRLINES INC,1384958,IL,1996
12125,UNITED AIRLINES INC,1384958,IL,1998
12135,UNITED AIRLINES INC,3260214,IL,2003
12136,UNITED AIRLINES INC,3260214,IL,2003
12142,UNITED AIRLINES INC,3260214,IL,2003
12145,UNITED AIRLINES INC,3260214,IL,2003
12157,UNITED AIRLINES INC,3260214,IL,2004
12160,UNITED AIRLINES INC,3260214,IL,2004
12163,UNITED AIRLINES INC,3260214,IL,2004
12166,UNITED AIRLINES INC,3260214,IL,2004
12167,UNITED AIRLINES INC,3260214,IL,2004
12172,UNITED AIRLINES INC,3260214,IL,2004
12175,UNITED AIRLINES INC,3260214,IL,2004
12195,UNITED AIRLINES INC,3260214,IL,2005
121DZ,DELTA AIR LINES INC,3940005,GA,2021
12201,UNITED AIRLINES INC,3260214,IL,2006
12216,UNITED AIRLINES INC,13844BZ,IL,1998
12218,UNITED AIRLINES INC,13844BZ,IL,1998
12221,UNITED AIRLINES INC,13844BZ,IL,1998
12225,UNITED AIRLINES INC,13844BZ,IL,1998
12238,UNITED AIRLINES INC,13844BZ,IL,1999
122DN,DELTA AIR LINES INC,3940005,GA,2021
122UA,UNITED AIRLINES INC,1384935,IL,1999
123DW,DELTA AIR LINES INC,3940005,GA,2021
124DX,DELTA AIR LINES INC,3940005,GA,2021
125DN,DELTA AIR LINES INC,3940005,GA,2021
125UW,AMERICAN AIRLINES INC,3940006,TX,2009
126DN,DELTA AIR LINES INC,3940005,GA,2021
126UW,AMERICAN AIRLINES INC,3940006,TX,2009
12754,UNITED AIRLINES INC,13844D1,IL,2002
127DN,DELTA AIR LINES INC,3940005,GA,2021
127UW,AMERICAN AIRLINES INC,3940006,TX,2010
128DN,DELTA AIR LINES INC,3940005,GA,2021
128UW,AMERICAN AIRLINES INC,3940006,TX,2010
129DN,DELTA AIR LINES INC,3940005,GA,2021
129DU,DELTA AIR LINES INC,1400010,GA,
13013,UNITED AIRLINES INC,1386010,IL,2020
13014,UNITED AIRLINES INC,1386010,IL,2023
13018,UNITED AIRLINES INC,1386010,IL,2022
130DU,DELTA AIR LINES INC,1400010,GA,2020
13110,UNITED AIRLINES INC,1384958,IL,1994
13113,UNITED AIRLINES INC,1384958,IL,1995
13118,UNITED AIRLINES INC,3260214,IL,2002
13123,UNITED AIRLINES INC,3260214,IL,2003
13124,UNITED AIRLINES INC,3260214,IL,2003
13132,UNITED AIRLINES INC,3260214,IL,2003
13133,UNITED AIRLINES INC,3260214,IL,2003
13138,UNITED AIRLINES INC,1384958,IL,1999
13161,UNITED AIRLINES INC,3260214,IL,2004
131DU,DELTA AIR LINES INC,1400010,GA,2020
131EV,DELTA AIR LINES INC,1390016,GA,2009
13202,UNITED AIRLINES INC,3260214,IL,2006
13227,UNITED AIRLINES INC,13844BZ,IL,1999
132DU,DELTA AIR LINES INC,1400010,GA,2020
132EV,DELTA AIR LINES INC,1390016,GA,2009
133DU,DELTA AIR LINES INC,1400010,GA,2020
133EV,DELTA AIR LINES INC,1390016,GA,2009
134DU,DELTA AIR LINES INC,1400010,GA,2020
134EV,DELTA AIR LINES INC,1390016,GA,2009
135DQ,DELTA AIR LINES INC,1400010,GA,2020
135EV,DELTA AIR LINES INC,1390016,GA,2009
135NN,AMERICAN AIRLINES INC,3940032,TX,2015
136AN,AMERICAN AIRLINES INC,3940032,TX,2015
136DQ,DELTA AIR LINES INC,1400010,GA,2020
136EV,DELTA AIR LINES INC,1390016,GA,2009
13716,UNITED AIRLINES INC,13844BY,IL,1998
13718,UNITED AIRLINES INC,13844BY,IL,1999
13720,UNITED AIRLINES INC,13844BY,IL,1999
13750,UNITED AIRLINES INC,13844BY,IL,1999
137AA,AMERICAN AIRLINES INC,3940032,TX,2015
137DU,DELTA AIR LINES INC,1400010,GA,2020
137EV,DELTA AIR LINES INC,1390016,GA,2009
138AN,AMERICAN AIRLINES INC,3940032,TX,2015
138DU,DELTA AIR LINES INC,1400010,GA,2020
138EV,DELTA AIR LINES INC,1390016,GA,2009
13954,UNITED AIRLINES INC,1385609,IL,2015
139AN,AMERICAN AIRLINES INC,3940032,TX,2015
139DU,DELTA AIR LINES INC,1400010,GA,
14001,UNITED AIRLINES INC,1386010,IL,2018
14011,UNITED AIRLINES INC,1386010,IL,2019
14016,UNITED AIRLINES INC,1386010,IL,2022
14019,UNITED AIRLINES INC,1386010,IL,2022
