airline_name,faa_name,region,contracted_fleet,monthly_rate_usd,stc_status,contract_year,faa_fleet,current_mrr,potential_mrr,revenue_gap_mrr,potential_arr
Alaska Airlines,alaska airlines,North America,200,14000,Pending,2024,222,260400.00000000003,2800000,2539600.0,33600000
American Airlines,american airlines,North America,900,15000,Pending,2024,964,1255500.0,13500000,12244500.0,162000000
Delta Air Lines,delta air lines,North America,700,16500,Pending,2024,1098,1074150.0,11550000,10475850.0,138600000
Emirates,emirates,Middle East,100,25000,Pending,2023,0,232500.00000000003,2500000,2267500.0,30000000
Hawaiian Airlines,hawaiian airlines,North America,50,14000,Pending,2023,53,65100.00000000001,700000,634900.0,8400000
International Airlines Group,british airways,Europe,300,15000,Pending,2023,0,418500.0,4500000,4081500.0,54000000
Lufthansa,lufthansa,Europe,300,17000,Pending,2023,0,474300.0,5100000,4625700.0,61200000
Qatar Airways,qatar airways,Middle East,100,25000,Pending,2023,0,232500.00000000003,2500000,2267500.0,30000000
Southwest Airlines,southwest airlines,North America,817,12500,Pending,2024,738,949762.4999999999,10212500,9262737.5,122550000
United Airlines,united airlines,North America,300,16500,Partial,2024,1187,460350.0,4950000,4489650.0,59400000
